;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
MG-1-neg-10338140_st;1,70795473551309;1,79557981652811;1,5756761625113;1,576222389681;3,40315476328283;1,40661911672523
MG-1-neg-10338142_st;4,70916704292691;4,93077438686255;5,15694259398028;5,54794659191774;5,69189390068414;7,12063678892602
MG-1-neg-10338143_st;1,51296256947591;1,56739094998813;2,21620088180058;2,57294650411542;2,3127781659272;2,1444221478963
MG-1-neg-10338145_st;4,40757345943205;3,99233046215287;4,88368167586159;4,5813029629314;3,78194653561149;5,61589371951326
MG-1-neg-10338146_st;3,29695080324675;3,64660502019892;4,00008018293143;3,00094517772517;3,87419441599467;4,20157859568686
MG-1-neg-10338148_st;2,15570394493007;2,62606011462914;1,96044421882373;2,70667708287481;3,98073811384555;3,0685450737283
MG-1-neg-10338149_st;2,27639742647509;2,81388975016421;3,25637410429637;3,83157627225963;3,17734446334573;4,93692747191975
MG-1-neg-10338151_st;3,43443986264522;4,38900413874006;5,4180638772443;5,98913745481184;5,35020654802163;6,00649724416304
MG-1-neg-10338152_st;4,31882328317114;4,09281789417599;4,10689694897653;5,31775280796178;3,97499842651999;3,9888998906269
MG-1-neg-10338153_st;1,60156114747864;2,16944777753713;4,70662814037883;4,00181619833535;1,35412187620277;1,65587838613608
MG-1-neg-10338154_st;3,91307699270927;4,1113995380252;5,2127002694207;4,00181619833535;4,04030621256783;3,86547329263347
MG-1-neg-10338156_st;2,58217318615886;2,28678076745189;4,54223027017232;2,87988703515875;2,69898256786316;2,48437683812425
MG-1-neg-10338157_st;2,30270944281324;2,44288730162151;2,27231311663254;3,42594006463999;3,64339893459387;2,47834454011987
MG-1-neg-10338158_st;1,40336380893358;1,18177982399832;2,16605942961695;2,75650698909785;1,56720442234919;1,97884992345172
MG-1-neg-10338159_st;2,62277457767158;2,78634431140377;2,48375842194517;3,58958936039407;2,4189365587458;3,03811693407173
